,outtime,scores,one,two
347,2019-04-25 22:52:42,30,2019-04-25,22:52:42
348,2019-04-24 03:29:57,30,2019-04-24,03:29:57
349,2019-04-28 07:13:34,30,2019-04-28,07:13:34
350,2019-04-24 20:25:03,30,2019-04-24,20:25:03
351,2019-04-26 00:35:31,30,2019-04-26,00:35:31
352,2019-04-27 09:24:27,30,2019-04-27,09:24:27
353,2019-04-26 08:54:50,30,2019-04-26,08:54:50
354,2019-04-24 10:51:45,30,2019-04-24,10:51:45
355,2019-04-25 04:44:06,30,2019-04-25,04:44:06
356,2019-04-24 13:33:13,30,2019-04-24,13:33:13
357,2019-04-25 15:22:13,30,2019-04-25,15:22:13
358,2019-04-24 17:46:25,30,2019-04-24,17:46:25
359,2019-04-26 17:03:09,30,2019-04-26,17:03:09
360,2019-04-30 00:17:13,30,2019-04-30,00:17:13
361,2019-04-25 07:10:20,30,2019-04-25,07:10:20
362,2019-04-25 22:23:47,30,2019-04-25,22:23:47
363,2019-04-24 22:02:02,30,2019-04-24,22:02:02
364,2019-04-24 22:13:16,30,2019-04-24,22:13:16
365,2019-05-13 21:58:07,30,2019-05-13,21:58:07
366,2019-04-24 23:57:04,30,2019-04-24,23:57:04
367,2019-04-26 20:39:15,30,2019-04-26,20:39:15
368,2019-04-26 22:47:05,30,2019-04-26,22:47:05
369,2019-04-27 22:22:11,30,2019-04-27,22:22:11
370,2019-05-03 21:02:24,30,2019-05-03,21:02:24
371,2019-04-26 17:32:00,30,2019-04-26,17:32:00
372,2019-04-25 03:07:18,30,2019-04-25,03:07:18
373,2019-04-25 06:43:37,30,2019-04-25,06:43:37
374,2019-04-24 03:09:11,30,2019-04-24,03:09:11
375,2019-04-24 17:11:18,30,2019-04-24,17:11:18
376,2019-05-22 14:51:51,30,2019-05-22,14:51:51
377,2019-04-30 01:22:02,30,2019-04-30,01:22:02
378,2019-04-24 03:26:20,30,2019-04-24,03:26:20
379,2019-04-27 22:44:04,30,2019-04-27,22:44:04
380,2019-04-27 18:13:00,30,2019-04-27,18:13:00
381,2019-04-25 08:12:29,30,2019-04-25,08:12:29
382,2019-04-28 16:58:38,30,2019-04-28,16:58:38
383,2019-04-24 12:06:55,30,2019-04-24,12:06:55
384,2019-05-02 15:36:20,30,2019-05-02,15:36:20
385,2019-04-24 17:56:30,30,2019-04-24,17:56:30
386,2019-04-25 09:30:06,30,2019-04-25,09:30:06
387,2019-04-27 16:02:49,30,2019-04-27,16:02:49
388,2019-04-27 22:42:15,30,2019-04-27,22:42:15
389,2019-04-28 00:27:26,30,2019-04-28,00:27:26
390,2019-05-28 01:42:59,30,2019-05-28,01:42:59
391,2019-05-04 21:02:59,30,2019-05-04,21:02:59
392,2019-04-28 10:52:28,30,2019-04-28,10:52:28
393,2019-04-24 12:40:40,30,2019-04-24,12:40:40
394,2019-04-27 17:14:50,30,2019-04-27,17:14:50
395,2019-05-06 22:46:16,30,2019-05-06,22:46:16
396,2019-04-27 22:37:32,30,2019-04-27,22:37:32
397,2019-04-25 19:21:59,30,2019-04-25,19:21:59
398,2019-05-01 12:07:39,30,2019-05-01,12:07:39
399,2019-04-27 21:55:00,30,2019-04-27,21:55:00
400,2019-04-29 17:35:34,30,2019-04-29,17:35:34
401,2019-04-27 01:47:15,30,2019-04-27,01:47:15
402,2019-04-27 17:12:10,30,2019-04-27,17:12:10
403,2019-04-25 22:29:15,30,2019-04-25,22:29:15
404,2019-04-24 23:42:04,30,2019-04-24,23:42:04
405,2019-04-25 18:43:18,30,2019-04-25,18:43:18
406,2019-04-25 10:20:31,30,2019-04-25,10:20:31
407,2019-04-26 16:57:28,30,2019-04-26,16:57:28
408,2019-04-26 22:10:24,30,2019-04-26,22:10:24
409,2019-04-24 19:17:58,30,2019-04-24,19:17:58
410,2019-04-29 15:37:38,30,2019-04-29,15:37:38
411,2019-04-25 21:28:31,30,2019-04-25,21:28:31
412,2019-05-06 07:36:17,30,2019-05-06,07:36:17
413,2019-05-11 00:53:13,30,2019-05-11,00:53:13
414,2019-04-28 08:47:59,30,2019-04-28,08:47:59
415,2019-04-24 22:51:56,30,2019-04-24,22:51:56
416,2019-04-27 13:04:51,30,2019-04-27,13:04:51
417,2019-04-27 17:24:11,30,2019-04-27,17:24:11
418,2019-05-04 01:17:17,30,2019-05-04,01:17:17
419,2019-04-24 19:34:22,30,2019-04-24,19:34:22
420,2019-05-03 21:54:08,30,2019-05-03,21:54:08
421,2019-04-25 14:40:52,30,2019-04-25,14:40:52
422,2019-05-01 11:21:49,30,2019-05-01,11:21:49
423,2019-04-24 03:49:44,30,2019-04-24,03:49:44
424,2019-05-14 20:59:14,30,2019-05-14,20:59:14
425,2019-04-30 12:03:39,30,2019-04-30,12:03:39
426,2019-04-27 16:44:03,30,2019-04-27,16:44:03
427,2019-04-28 01:28:40,30,2019-04-28,01:28:40
428,2019-04-24 22:48:03,30,2019-04-24,22:48:03
429,2019-04-26 22:32:10,30,2019-04-26,22:32:10
430,2019-04-24 23:13:10,30,2019-04-24,23:13:10
431,2019-04-28 10:45:40,30,2019-04-28,10:45:40
432,2019-04-25 05:36:26,30,2019-04-25,05:36:26
433,2019-04-27 11:33:24,30,2019-04-27,11:33:24
434,2019-05-12 20:30:08,30,2019-05-12,20:30:08
435,2019-04-24 07:29:38,30,2019-04-24,07:29:38
436,2019-04-24 07:14:06,30,2019-04-24,07:14:06
437,2019-04-24 02:03:09,20,2019-04-24,02:03:09
438,2019-04-24 00:00:05,10,2019-04-24,00:00:05
439,2019-04-24 03:56:56,20,2019-04-24,03:56:56
440,2019-04-24 03:50:30,10,2019-04-24,03:50:30
441,2019-04-24 04:44:35,10,2019-04-24,04:44:35
442,2019-04-24 01:21:14,20,2019-04-24,01:21:14
443,2019-04-24 02:18:00,10,2019-04-24,02:18:00
444,2019-04-24 11:22:30,10,2019-04-24,11:22:30
445,2019-04-24 03:05:02,20,2019-04-24,03:05:02
446,2019-04-24 08:08:36,10,2019-04-24,08:08:36
447,2019-04-24 06:13:50,20,2019-04-24,06:13:50
448,2019-04-24 02:55:45,10,2019-04-24,02:55:45
449,2019-04-24 07:14:10,10,2019-04-24,07:14:10
450,2019-04-24 22:29:57,20,2019-04-24,22:29:57
451,2019-04-24 07:10:52,10,2019-04-24,07:10:52
452,2019-04-24 04:22:24,10,2019-04-24,04:22:24
453,2019-04-24 09:54:50,20,2019-04-24,09:54:50
454,2019-04-24 07:52:05,10,2019-04-24,07:52:05
455,2019-04-24 23:27:12,10,2019-04-24,23:27:12
456,2019-04-24 04:03:18,20,2019-04-24,04:03:18
457,2019-04-24 00:13:07,20,2019-04-24,00:13:07
458,2019-04-24 23:07:42,10,2019-04-24,23:07:42
