,jointime,outtime,scores,one,two
197,2017-02-08,2019-04-24 03:06:00,50,2019-04-24,03:06:00
198,2018-09-24,2019-04-24 04:29:00,40,2019-04-24,04:29:00
199,2012-11-12,2019-04-24 03:05:00,50,2019-04-24,03:05:00
200,2014-02-05,2019-04-24 03:50:00,50,2019-04-24,03:50:00
201,2010-10-22,2019-04-25 10:25:00,40,2019-04-25,10:25:00
202,2012-09-15,2019-04-24 04:45:00,50,2019-04-24,04:45:00
203,2007-09-03,2019-04-24 22:44:00,40,2019-04-24,22:44:00
204,2006-12-01,2019-05-23 14:56:00,50,2019-05-23,14:56:00
205,2017-02-16,2019-04-24 10:46:00,50,2019-04-24,10:46:00
206,2008-01-09,2019-05-02 20:28:00,40,2019-05-02,20:28:00
207,2009-12-01,2019-05-04 18:33:00,40,2019-05-04,18:33:00
208,2012-02-09,2019-04-24 23:36:00,40,2019-04-24,23:36:00
209,2007-08-20,2019-04-25 11:07:00,40,2019-04-25,11:07:00
210,2010-12-09,2019-04-24 19:24:00,50,2019-04-24,19:24:00
211,2018-07-08,2019-04-24 11:31:00,40,2019-04-24,11:31:00
212,2008-12-10,2019-04-24 18:16:00,40,2019-04-24,18:16:00
213,2011-06-11,2019-04-27 07:43:00,50,2019-04-27,07:43:00
214,2006-07-22,2019-04-24 03:25:00,40,2019-04-24,03:25:00
215,2009-05-15,2019-04-24 23:10:00,40,2019-04-24,23:10:00
216,2006-12-29,2019-04-28 23:55:00,40,2019-04-28,23:55:00
217,2014-12-27,2019-04-24 22:20:00,50,2019-04-24,22:20:00
218,2011-06-15,2019-04-25 14:12:00,50,2019-04-25,14:12:00
219,2017-01-08,2019-04-24 03:05:50,30,2019-04-24,03:05:50
220,2009-02-21,2019-04-24 01:46:26,30,2019-04-24,01:46:26
221,2011-08-12,2019-04-24 04:24:15,30,2019-04-24,04:24:15
222,2008-07-18,2019-04-24 07:51:46,30,2019-04-24,07:51:46
223,2012-12-22,2019-04-24 05:25:21,30,2019-04-24,05:25:21
224,2011-03-07,2019-04-24 00:27:29,30,2019-04-24,00:27:29
225,2011-10-29,2019-04-24 10:36:15,30,2019-04-24,10:36:15
226,2008-08-30,2019-04-24 03:58:43,30,2019-04-24,03:58:43
227,2015-10-14,2019-04-24 08:31:46,30,2019-04-24,08:31:46
228,2009-04-14,2019-04-26 15:15:59,30,2019-04-26,15:15:59
229,2012-06-19,2019-04-24 03:20:46,30,2019-04-24,03:20:46
230,2006-03-29,2019-04-26 22:56:24,30,2019-04-26,22:56:24
231,2009-03-03,2019-04-24 03:49:31,30,2019-04-24,03:49:31
232,2006-04-21,2019-04-24 13:49:22,30,2019-04-24,13:49:22
233,2013-12-08,2019-04-24 03:10:18,30,2019-04-24,03:10:18
234,2014-05-22,2019-04-24 08:05:32,30,2019-04-24,08:05:32
235,2016-01-26,2019-04-24 03:51:37,30,2019-04-24,03:51:37
236,2015-10-12,2019-04-24 13:01:05,30,2019-04-24,13:01:05
237,2011-12-14,2019-04-25 12:40:04,30,2019-04-25,12:40:04
238,2008-03-26,2019-04-24 17:07:41,30,2019-04-24,17:07:41
239,2014-05-10,2019-04-24 09:09:43,30,2019-04-24,09:09:43
240,2009-11-03,2019-04-24 03:30:33,30,2019-04-24,03:30:33
241,2012-07-15,2019-04-24 03:52:18,30,2019-04-24,03:52:18
242,2013-08-18,2019-04-24 03:13:36,30,2019-04-24,03:13:36
243,2016-11-29,2019-04-24 04:36:41,30,2019-04-24,04:36:41
244,2013-08-17,2019-04-24 20:59:48,30,2019-04-24,20:59:48
245,2006-03-10,2019-04-24 14:01:25,30,2019-04-24,14:01:25
246,2006-09-14,2019-04-24 12:54:26,30,2019-04-24,12:54:26
247,2010-04-02,2019-04-24 13:37:03,30,2019-04-24,13:37:03
248,2016-05-21,2019-04-24 07:11:26,30,2019-04-24,07:11:26
249,2006-12-25,2019-04-26 08:41:43,30,2019-04-26,08:41:43
250,2010-08-29,2019-04-24 14:38:32,30,2019-04-24,14:38:32
251,2016-07-20,2019-04-25 08:39:39,30,2019-04-25,08:39:39
